 DlrZipToPmaId | ZipCd | DealerCd1 | DealerCd2 | DealerCd3 
15384|36108|AL036|AL035|AL030
15385|36109|AL036|AL035|GA075
15386|36110|AL036|AL035|AL030
15387|36111|AL036|AL035|AL025
15388|36112|AL036|AL035|AL030
15389|36113|AL036|AL035|AL030
15390|36114|AL036|AL035|AL030
15391|36115|AL036|AL035|AL030
15392|36116|AL036|AL035|AL025
15393|36117|AL036|AL035|GA075
15394|36118|AL036|AL035|AL030
15395|36119|AL036|AL035|GA075
15396|36120|AL036|AL035|AL025
15397|36121|AL036|AL035|GA075
15398|36123|AL036|AL035|AL025
15399|36124|AL036|AL035|GA075
15400|36125|AL036|AL035|AL025
15401|36130|AL036|AL035|AL030
15402|36131|AL036|AL035|AL030
15403|36132|AL036|AL035|GA075
15404|36135|AL036|AL035|AL030
15405|36140|AL036|AL035|AL030
15406|36141|AL036|AL035|GA075
15407|36142|AL036|AL035|AL030
15408|36177|AL036|AL035|GA075
15409|36191|AL036|AL035|AL025
15350|36052|AL036|AL035|AL025
15352|36054|AL036|AL035|AL030
15353|36057|AL036|AL035|GA075
15364|36075|AL036|AL035|GA075
15365|36078|AL036|AL035|GA075
15418|36251|AL021|AL035|AL034
15356|36064|AL036|AL035|GA075
15357|36065|AL036|AL035|AL025
15358|36066|AL036|AL035|AL030
15359|36067|AL036|AL035|AL030
15360|36068|AL036|AL035|AL030
15361|36069|AL036|AL035|AL025
15343|36043|AL036|AL035|AL025
15344|36045|AL036|AL035|GA075
15421|36255|AL021|AL035|AL022
15340|36040|AL036|AL035|AL025
15373|36089|AL036|AL035|GA075
15367|36080|AL036|AL035|AL030
15432|36267|AL021|AL035|AL034
15682|36856|GA075|AL035|GA081
15684|36859|GA075|AL035|GA081
15677|36851|GA075|AL035|GA081
15698|36875|GA075|AL035|AL036
15699|36877|GA075|AL035|GA035
15691|36867|GA075|AL035|GA035
15692|36868|GA075|AL035|GA035
15693|36869|GA075|AL035|GA035
15694|36870|GA075|AL035|GA035
15695|36871|GA075|AL035|AL036
15643|36752|AL036|AL035|AL030
14950|35072|AL021|AL035|AL030
13345|31801|GA075|AL035|GA057
13347|31804|GA075|AL035|GA035
13348|31805|GA075|AL035|GA081
13350|31807|GA075|AL035|GA035
13351|31808|GA075|AL035|GA035
13353|31811|GA075|AL035|GA035
13355|31814|GA075|AL035|GA081
13358|31820|GA075|AL035|GA035
13359|31821|GA075|AL035|GA081
13360|31822|GA075|AL035|GA035
13361|31823|GA075|AL035|GA035
13366|31829|GA075|AL035|GA035
13372|31901|GA075|AL035|GA035
13373|31902|GA075|AL035|GA035
13374|31903|GA075|AL035|GA035
13375|31904|GA075|AL035|GA035
13376|31905|GA075|AL035|GA035
13377|31906|GA075|AL035|GA035
13378|31907|GA075|AL035|GA035
13379|31908|GA075|AL035|GA035
13380|31909|GA075|AL035|GA035
13381|31914|GA075|AL035|GA035
13382|31917|GA075|AL035|GA035
13383|31993|GA075|AL035|GA035
13384|31995|GA075|AL035|GA035
13385|31997|GA075|AL035|GA035
13386|31998|GA075|AL035|GA035
13387|31999|GA075|AL035|GA035
13368|31831|GA075|AL035|GA035
13370|31833|GA075|AL035|GA035
14930|35045|AL030|AL036|AL037
14931|35046|AL030|AL036|AL037
14908|35010|AL035|AL036|AL021
14909|35011|AL035|AL036|AL021
15686|36861|AL035|AL036|AL021
15690|36866|AL035|AL036|GA075
15679|36853|AL035|AL036|GA075
15648|36759|AL009|AL036|AL030
15657|36773|AL009|AL036|MS045
15368|36081|AL025|AL036|AL008
15369|36082|AL025|AL036|AL008
15370|36083|AL035|AL036|GA075
15371|36087|AL035|AL036|GA075
15372|36088|AL035|AL036|GA075
15514|36474|AL025|AL036|FL087
15505|36456|AL025|AL036|FL087
15348|36049|AL025|AL036|AL008
15362|36071|AL025|AL036|AL008
15366|36079|AL025|AL036|AL008
15354|36061|AL025|AL036|AL008
15328|36028|AL025|AL036|AL008
15331|36031|AL035|AL036|GA075
15334|36034|AL025|AL036|AL008
15335|36035|AL025|AL036|AL008
15339|36039|AL035|AL036|GA075
15315|36009|AL025|AL036|AL008
15312|36005|AL025|AL036|AL008
14961|35089|AL035|AL036|AL021
14962|35091|AL034|AL037|AL032
14963|35094|AL034|AL037|AL030
14959|35085|AL030|AL037|AL034
14965|35097|AL034|AL037|AL022
14975|35120|AL034|AL037|AL030
14968|35112|AL034|AL037|AL030
14969|35114|AL030|AL037|AL034
14970|35115|AL030|AL037|AL034
14971|35116|AL034|AL037|AL030
14977|35123|AL034|AL037|AL030
14978|35124|AL030|AL037|AL034
14980|35126|AL034|AL037|AL030
14983|35130|AL032|AL037|AL030
14990|35142|AL030|AL037|AL034
14991|35143|AL030|AL037|AL034
14992|35144|AL030|AL037|AL034
14988|35137|AL030|AL037|AL034
14985|35133|AL034|AL037|AL030
15026|35210|AL034|AL037|AL030
15014|35186|AL030|AL037|AL034
15015|35187|AL030|AL037|AL009
15022|35206|AL034|AL037|AL030
15001|35171|AL030|AL037|AL036
15002|35172|AL034|AL037|AL030
